backend,modulation,profile,attack,attack_profile,n,n_clean_correct,n_attacked_correct,n_attack_success,mean_linf,mean_l2,clean_acc_pct,attacked_acc_pct,cond_asr_pct,cond_asr_ci95_lo_pct,cond_asr_ci95_hi_pct
CPU,8PSK,fgsm/eps0.005,fgsm,eps0.005,200,106,104,10,0.00015742977484473598,0.002512333255144718,53.0,52.0,9.433962264150944,5.205194116058447,16.500243532337063
CPU,8PSK,fgsm/eps0.01,fgsm,eps0.01,200,106,93,23,0.0003148574173973865,0.005023955466458526,53.0,46.5,21.69811320754717,14.916154641951037,30.45973208948769
CPU,8PSK,fgsm/eps0.03,fgsm,eps0.03,200,106,30,86,0.0009445684289675641,0.015061388178728471,53.0,15.0,81.13207547169812,72.64572909225124,87.44079550316617
CPU,8PSK,fgsm/eps0.05,fgsm,eps0.05,200,106,17,103,0.0015742806356865418,0.02507973526604469,53.0,8.5,97.16981132075472,92.00729964539735,99.0328891355381
CPU,8PSK,bim/eps0.03_default,bim,eps0.03_default,200,106,15,105,0.0009445683567900635,0.013741913586854887,53.0,7.5,99.05660377358491,94.848519210622,99.83327712155085
CPU,8PSK,pgd/eps0.005,pgd,eps0.005,200,106,102,12,0.00015742974224844698,0.0024303061177487883,53.0,51.0,11.320754716981133,6.595616916206086,18.751428283426836
CPU,8PSK,pgd/eps0.01,pgd,eps0.01,200,106,89,28,0.00031485736035387747,0.004768149488372682,53.0,44.5,26.41509433962264,18.953748624976914,35.52615698455535
CPU,8PSK,pgd/eps0.03,pgd,eps0.03,200,106,15,103,0.0009445683352532291,0.013572488431818734,53.0,7.5,97.16981132075472,92.00729964539735,99.0328891355381
CPU,8PSK,mifgsm/eps0.03_default,mifgsm,eps0.03_default,200,106,12,104,0.000944568366394329,0.01423171595670278,53.0,6.0,98.11320754716981,93.37994255846299,99.48104999809118
CPU,8PSK,difgsm/eps0.03_default,difgsm,eps0.03_default,200,106,17,101,0.0009445683765806695,0.014300596066750534,53.0,8.5,95.28301886792453,89.42995856883567,97.96862266086237
CPU,8PSK,vmifgsm/eps0.03_default,vmifgsm,eps0.03_default,200,106,13,104,0.0009445683774537855,0.014354465072974509,53.0,6.5,98.11320754716981,93.37994255846299,99.48104999809118
CPU,8PSK,vnifgsm/eps0.03_default,vnifgsm,eps0.03_default,200,106,17,104,0.0009445683847297415,0.014424989246763241,53.0,8.5,98.11320754716981,93.37994255846299,99.48104999809118
CPU,8PSK,rfgsm/eps0.03_default,rfgsm,eps0.03_default,200,106,16,105,0.0009445683562079875,0.013689091443084134,53.0,8.0,99.05660377358491,94.848519210622,99.83327712155085
CPU,8PSK,tpgd/eps0.03_default,tpgd,eps0.03_default,200,106,58,56,0.0009445683771627466,0.013489707363769364,53.0,28.999999999999996,52.83018867924528,43.39500438390183,62.06740694295429
CPU,8PSK,cw/c1_steps20_lr0.01,cw,c1_steps20_lr0.01,200,106,12,106,0.0005980293750325881,0.006752931951670995,53.0,6.0,100.0,96.50260010779157,99.99999999999997
CPU,8PSK,deepfool/package_default,deepfool,package_default,200,106,12,106,0.0011435296271519694,0.005126461119580147,53.0,6.0,100.0,96.50260010779157,99.99999999999997
CPU,8PSK,fab/eps0.005,fab,eps0.005,200,106,99,13,2.287829833221079e-05,0.0003484302849180897,53.0,49.5,12.264150943396226,7.309052037980972,19.85879693727066
CPU,8PSK,fab/eps0.01,fab,eps0.01,200,106,85,30,7.345099060329145e-05,0.0010889928942533506,53.0,42.5,28.30188679245283,20.602338401321436,37.519174759448234
CPU,8PSK,fab/eps0.03,fab,eps0.03,200,106,16,103,0.00032271151372693333,0.004598790579083012,53.0,8.0,97.16981132075472,92.00729964539735,99.0328891355381
CPU,8PSK,square/eps0.03_default,square,eps0.03_default,200,106,14,105,0.0009249669770360421,0.014755088824636484,53.0,7.000000000000001,99.05660377358491,94.848519210622,99.83327712155085
CPU,8PSK,apgd/eps0.03_default,apgd,eps0.03_default,200,106,13,105,0.000941030244866802,0.013714637558861199,53.0,6.5,99.05660377358491,94.848519210622,99.83327712155085
CPU,8PSK,apgdt/eps0.03_default,apgdt,eps0.03_default,200,106,20,104,0.000937434886582145,0.012014299344112314,53.0,10.0,98.11320754716981,93.37994255846299,99.48104999809118
CPU,8PSK,autoattack/eps0.03_standard,autoattack,eps0.03_standard,200,106,13,105,0.0009410302405012255,0.013724820560729623,53.0,6.5,99.05660377358491,94.848519210622,99.83327712155085
CPU,8PSK,ead/package_default,ead,package_default,200,106,18,106,0.002128643706673707,0.005011357945222652,53.0,9.0,100.0,96.50260010779157,99.99999999999997
CPU,8PSK,ALL/ALL_24,ALL,ALL_24,4800,2544,900,1927,0.0007939031729407509,0.010159026916845164,53.0,18.75,75.74685534591194,74.04326435968702,77.37280483393944
CPU,AM-DSB,fgsm/eps0.005,fgsm,eps0.005,200,130,114,27,0.0001355042411887241,0.0021634314878610375,65.0,56.99999999999999,20.76923076923077,14.684660487829596,28.531798371000537
CPU,AM-DSB,fgsm/eps0.01,fgsm,eps0.01,200,130,99,49,0.000271006746770533,0.004326403293525751,65.0,49.5,37.69230769230769,29.82769881529427,46.263441756844735
CPU,AM-DSB,fgsm/eps0.03,fgsm,eps0.03,200,130,48,106,0.0008130168734350655,0.012971319875214202,65.0,24.0,81.53846153846153,73.99800318075413,87.26844910313967
CPU,AM-DSB,fgsm/eps0.05,fgsm,eps0.05,200,130,35,115,0.0013550281219067485,0.02160265629179771,65.0,17.5,88.46153846153845,81.83348986168332,92.88169585038227
CPU,AM-DSB,bim/eps0.03_default,bim,eps0.03_default,200,130,25,129,0.0008130168239585535,0.011813985507469576,65.0,12.5,99.23076923076923,95.77135163674926,99.86408607469473
CPU,AM-DSB,pgd/eps0.005,pgd,eps0.005,200,130,114,29,0.00013550421477699818,0.0020866714540169994,65.0,56.99999999999999,22.30769230769231,16.004839200095862,30.200227087216902
CPU,AM-DSB,pgd/eps0.01,pgd,eps0.01,200,130,91,58,0.0002710066779399735,0.004095506239682386,65.0,45.5,44.61538461538462,36.34686477864737,53.193009221663445
CPU,AM-DSB,pgd/eps0.03,pgd,eps0.03,200,130,25,129,0.0008130168399656609,0.011668469971045804,65.0,12.5,99.23076923076923,95.77135163674926,99.86408607469473
CPU,AM-DSB,mifgsm/eps0.03_default,mifgsm,eps0.03_default,200,130,29,127,0.0008130168457864271,0.012264623786322726,65.0,14.499999999999998,97.6923076923077,93.43469804875119,99.21213223421016
CPU,AM-DSB,difgsm/eps0.03_default,difgsm,eps0.03_default,200,130,14,127,0.000813016860338341,0.01228435149649153,65.0,7.000000000000001,97.6923076923077,93.43469804875119,99.21213223421016
CPU,AM-DSB,vmifgsm/eps0.03_default,vmifgsm,eps0.03_default,200,130,27,128,0.0008130168396746219,0.012360667460598003,65.0,13.5,98.46153846153847,94.56404572030684,99.57708827689584
CPU,AM-DSB,vnifgsm/eps0.03_default,vnifgsm,eps0.03_default,200,130,28,127,0.0008130168472416185,0.012379239145666313,65.0,14.000000000000002,97.6923076923077,93.43469804875119,99.21213223421016
CPU,AM-DSB,rfgsm/eps0.03_default,rfgsm,eps0.03_default,200,130,26,128,0.0008130168111528669,0.011718137704301574,65.0,13.0,98.46153846153847,94.56404572030684,99.57708827689584
CPU,AM-DSB,tpgd/eps0.03_default,tpgd,eps0.03_default,200,130,71,77,0.0008130168024217195,0.011692967501003246,65.0,35.5,59.23076923076923,50.636296660837296,67.29534791005845
CPU,AM-DSB,cw/c1_steps20_lr0.01,cw,c1_steps20_lr0.01,200,130,28,129,0.0004492909906547955,0.0046827047970802544,65.0,14.000000000000002,99.23076923076923,95.77135163674926,99.86408607469473
CPU,AM-DSB,deepfool/package_default,deepfool,package_default,200,130,38,129,0.0008741545693191671,0.0038201057656101034,65.0,19.0,99.23076923076923,95.77135163674926,99.86408607469473
CPU,AM-DSB,fab/eps0.005,fab,eps0.005,200,130,118,29,2.462808653944737e-05,0.00037466850786546413,65.0,59.0,22.30769230769231,16.004839200095862,30.200227087216902
CPU,AM-DSB,fab/eps0.01,fab,eps0.01,200,130,96,58,7.124222858691144e-05,0.0010575492879870655,65.0,48.0,44.61538461538462,36.34686477864737,53.193009221663445
CPU,AM-DSB,fab/eps0.03,fab,eps0.03,200,130,41,125,0.0002428578515536705,0.0033936360000701533,65.0,20.5,96.15384615384616,91.31204109992453,98.34618175455421
CPU,AM-DSB,square/eps0.03_default,square,eps0.03_default,200,130,17,130,0.0008004581640124735,0.01278039059607742,65.0,8.5,100.0,97.1297414256853,100.0
CPU,AM-DSB,apgd/eps0.03_default,apgd,eps0.03_default,200,130,23,130,0.0008130168268689366,0.011857791002839756,65.0,11.5,100.0,97.1297414256853,100.0
