backend,snr_db,profile,attack,attack_profile,n,n_clean_correct,n_attacked_correct,n_attack_success,mean_linf,mean_l2,clean_acc_pct,attacked_acc_pct,cond_asr_pct,cond_asr_ci95_lo_pct,cond_asr_ci95_hi_pct
CPU,-20,fgsm/eps0.005,fgsm,eps0.005,110,11,13,1,0.00018598942869252908,0.002966906155713532,10.0,11.818181818181818,9.090909090909092,1.6231752262825971,37.73646254862038
CPU,-20,fgsm/eps0.01,fgsm,eps0.01,110,11,12,3,0.00037197652008294545,0.005933150183409399,10.0,10.909090909090908,27.27272727272727,9.745880573921466,56.56502930102463
CPU,-20,fgsm/eps0.03,fgsm,eps0.03,110,11,13,9,0.0011159250645008765,0.017788682141425885,10.0,11.818181818181818,81.81818181818183,52.30138624217553,94.86333993289995
CPU,-20,fgsm/eps0.05,fgsm,eps0.05,110,11,11,11,0.0018598749016580471,0.02962593974714925,10.0,10.0,100.0,74.11599827511859,100.0
CPU,-20,bim/eps0.03_default,bim,eps0.03_default,110,11,11,11,0.001115925010526501,0.016381916793232563,10.0,10.0,100.0,74.11599827511859,100.0
CPU,-20,pgd/eps0.005,pgd,eps0.005,110,11,13,1,0.00018598942445924456,0.002863163776187685,10.0,11.818181818181818,9.090909090909092,1.6231752262825971,37.73646254862038
CPU,-20,pgd/eps0.01,pgd,eps0.01,110,11,12,4,0.0003719764777501009,0.005623229609971653,10.0,10.909090909090908,36.36363636363637,15.166223614131383,64.62032231083627
CPU,-20,pgd/eps0.03,pgd,eps0.03,110,11,9,11,0.0011159249861851163,0.01619130832735783,10.0,8.181818181818182,100.0,74.11599827511859,100.0
CPU,-20,mifgsm/eps0.03_default,mifgsm,eps0.03_default,110,11,9,11,0.001115925020051391,0.016896241903305007,10.0,8.181818181818182,100.0,74.11599827511859,100.0
CPU,-20,difgsm/eps0.03_default,difgsm,eps0.03_default,110,11,8,11,0.0011159249957100037,0.016956897444007024,10.0,7.2727272727272725,100.0,74.11599827511859,100.0
CPU,-20,vmifgsm/eps0.03_default,vmifgsm,eps0.03_default,110,11,8,11,0.0011159250158181064,0.017024035531688776,10.0,7.2727272727272725,100.0,74.11599827511859,100.0
CPU,-20,vnifgsm/eps0.03_default,vnifgsm,eps0.03_default,110,11,10,11,0.0011159250359262065,0.017131941867145572,10.0,9.090909090909092,100.0,74.11599827511859,100.0
CPU,-20,rfgsm/eps0.03_default,rfgsm,eps0.03_default,110,11,12,11,0.0011159249491438745,0.016287243764170144,10.0,10.909090909090908,100.0,74.11599827511859,100.0
CPU,-20,tpgd/eps0.03_default,tpgd,eps0.03_default,110,11,10,8,0.0011159249814226692,0.016030451723120384,10.0,9.090909090909092,72.72727272727273,43.43497069897537,90.25411942607853
CPU,-20,cw/c1_steps20_lr0.01,cw,c1_steps20_lr0.01,110,11,15,11,0.0006422070762544181,0.00743030212311577,10.0,13.636363636363635,100.0,74.11599827511859,100.0
CPU,-20,deepfool/package_default,deepfool,package_default,110,11,13,11,0.0014003243112131823,0.006393171760613385,10.0,11.818181818181818,100.0,74.11599827511859,100.0
CPU,-20,fab/eps0.005,fab,eps0.005,110,11,13,1,2.386756254550054e-05,0.0003646154297655902,10.0,11.818181818181818,9.090909090909092,1.6231752262825971,37.73646254862038
CPU,-20,fab/eps0.01,fab,eps0.01,110,11,14,3,7.244637407974948e-05,0.001063650274922402,10.0,12.727272727272727,27.27272727272727,9.745880573921466,56.56502930102463
CPU,-20,fab/eps0.03,fab,eps0.03,110,11,12,11,0.00036774847434237114,0.005186753870558871,10.0,10.909090909090908,100.0,74.11599827511859,100.0
CPU,-20,square/eps0.03_default,square,eps0.03_default,110,11,9,11,0.0011053109366911875,0.017630355159180534,10.0,8.181818181818182,100.0,74.11599827511859,100.0
CPU,-20,apgd/eps0.03_default,apgd,eps0.03_default,110,11,12,11,0.0010963032741776414,0.01620899310499868,10.0,10.909090909090908,100.0,74.11599827511859,100.0
CPU,-20,apgdt/eps0.03_default,apgdt,eps0.03_default,110,11,11,11,0.0011159246173602082,0.013865331441841298,10.0,10.0,100.0,74.11599827511859,100.0
CPU,-20,autoattack/eps0.03_standard,autoattack,eps0.03_standard,110,11,12,11,0.0011159249972974882,0.01649131174622607,10.0,10.909090909090908,100.0,74.11599827511859,100.0
CPU,-20,ead/package_default,ead,package_default,110,11,14,11,0.002224646810315158,0.005770788816946759,10.0,12.727272727272727,100.0,74.11599827511859,100.0
CPU,-20,ALL/ALL_24,ALL,ALL_24,2640,264,276,206,0.0009243265102585215,0.012004432612335586,10.0,10.454545454545453,78.03030303030303,72.65337963185797,82.60316005428486
CPU,-18,fgsm/eps0.005,fgsm,eps0.005,110,11,13,1,0.00018700804370874,0.0029842790681868262,10.0,11.818181818181818,9.090909090909092,1.6231752262825971,37.73646254862038
CPU,-18,fgsm/eps0.01,fgsm,eps0.01,110,11,13,3,0.00037401373847383,0.005967627677389112,10.0,11.818181818181818,27.27272727272727,9.745880573921466,56.56502930102463
CPU,-18,fgsm/eps0.03,fgsm,eps0.03,110,11,10,10,0.0011220364799637828,0.017891462849961036,10.0,9.090909090909092,90.9090909090909,62.26353745137963,98.3768247737174
CPU,-18,fgsm/eps0.05,fgsm,eps0.05,110,11,13,10,0.0018700607449069755,0.029801558584652114,10.0,11.818181818181818,90.9090909090909,62.26353745137963,98.3768247737174
CPU,-18,bim/eps0.03_default,bim,eps0.03_default,110,11,8,11,0.0011220364445100263,0.016423431030389887,10.0,7.2727272727272725,100.0,74.11599827511859,100.0
CPU,-18,pgd/eps0.005,pgd,eps0.005,110,11,12,2,0.00018700799396764817,0.0028780055211179135,10.0,10.909090909090908,18.181818181818183,5.136660067100063,47.69861375782448
CPU,-18,pgd/eps0.01,pgd,eps0.01,110,11,11,4,0.00037401362311682726,0.005652058988132214,10.0,10.0,36.36363636363637,15.166223614131383,64.62032231083627
CPU,-18,pgd/eps0.03,pgd,eps0.03,110,11,10,10,0.0011220364201686417,0.01621725167232476,10.0,9.090909090909092,90.9090909090909,62.26353745137963,98.3768247737174
CPU,-18,mifgsm/eps0.03_default,mifgsm,eps0.03_default,110,11,11,10,0.00112203644662667,0.016993787393651177,10.0,10.0,90.9090909090909,62.26353745137963,98.3768247737174
CPU,-18,difgsm/eps0.03_default,difgsm,eps0.03_default,110,11,9,9,0.0011220364138187164,0.017028308016332667,10.0,8.181818181818182,81.81818181818183,52.30138624217553,94.86333993289995
CPU,-18,vmifgsm/eps0.03_default,vmifgsm,eps0.03_default,110,11,9,10,0.0011220364445100272,0.017127255528149234,10.0,8.181818181818182,90.9090909090909,62.26353745137963,98.3768247737174
CPU,-18,vnifgsm/eps0.03_default,vnifgsm,eps0.03_default,110,11,10,10,0.001122036464618129,0.01722593498839569,10.0,9.090909090909092,90.9090909090909,62.26353745137963,98.3768247737174
CPU,-18,rfgsm/eps0.03_default,rfgsm,eps0.03_default,110,11,10,10,0.00112203639900222,0.01633379451761187,10.0,9.090909090909092,90.9090909090909,62.26353745137963,98.3768247737174
CPU,-18,tpgd/eps0.03_default,tpgd,eps0.03_default,110,11,14,6,0.0011220364217561247,0.016222833308645226,10.0,12.727272727272727,54.54545454545454,28.008775568998818,78.72904245601195
CPU,-18,cw/c1_steps20_lr0.01,cw,c1_steps20_lr0.01,110,11,7,11,0.0006295920669799191,0.007235095768489569,10.0,6.363636363636363,100.0,74.11599827511859,100.0
CPU,-18,deepfool/package_default,deepfool,package_default,110,11,10,11,0.0012330904904625454,0.005872585575905879,10.0,9.090909090909092,100.0,74.11599827511859,100.0
CPU,-18,fab/eps0.005,fab,eps0.005,110,11,12,2,3.952481122474784e-05,0.0005988082783241807,10.0,10.909090909090908,18.181818181818183,5.136660067100063,47.69861375782448
CPU,-18,fab/eps0.01,fab,eps0.01,110,11,13,3,9.64800168400109e-05,0.00142596943708055,10.0,11.818181818181818,27.27272727272727,9.745880573921466,56.56502930102463
CPU,-18,fab/eps0.03,fab,eps0.03,110,11,11,11,0.0003634560556912515,0.005099141103776376,10.0,10.0,100.0,74.11599827511859,100.0
CPU,-18,square/eps0.03_default,square,eps0.03_default,110,11,9,11,0.0011106058785860676,0.01771639269833724,10.0,8.181818181818182,100.0,74.11599827511859,100.0
CPU,-18,apgd/eps0.03_default,apgd,eps0.03_default,110,11,9,10,0.0011120542412919585,0.016435332441890566,10.0,8.181818181818182,90.9090909090909,62.26353745137963,98.3768247737174
CPU,-18,apgdt/eps0.03_default,apgdt,eps0.03_default,110,11,8,11,0.0011220360846808481,0.013814078135923853,10.0,7.2727272727272725,100.0,74.11599827511859,100.0
CPU,-18,autoattack/eps0.03_standard,autoattack,eps0.03_standard,110,11,8,11,0.0011220364085271091,0.01656486348841673,10.0,7.2727272727272725,100.0,74.11599827511859,100.0
CPU,-18,ead/package_default,ead,package_default,110,11,9,11,0.0023052776041863547,0.00567941974150012,10.0,8.181818181818182,100.0,74.11599827511859,100.0
CPU,-18,ALL/ALL_24,ALL,ALL_24,2640,264,249,198,0.0009260244057341322,0.012049553158941033,10.0,9.431818181818182,75.0,69.4432250696766,79.83963465039675
CPU,-16,fgsm/eps0.005,fgsm,eps0.005,110,12,13,5,0.00018900416537436727,0.0030160914683206043,10.909090909090908,11.818181818181818,41.66666666666667,19.325746190524658,68.04926643446272
CPU,-16,fgsm/eps0.01,fgsm,eps0.01,110,12,14,5,0.0003780056860043436,0.006031739639795591,10.909090909090908,12.727272727272727,41.66666666666667,19.325746190524658,68.04926643446272
CPU,-16,fgsm/eps0.03,fgsm,eps0.03,110,12,14,10,0.00113401212147432,0.018089374044740696,10.909090909090908,12.727272727272727,83.33333333333334,55.196364261532736,95.30358523851777
CPU,-16,fgsm/eps0.05,fgsm,eps0.05,110,12,10,11,0.001890020112676327,0.03013384318487206,10.909090909090908,9.090909090909092,91.66666666666666,64.61140782014047,98.51352905492264
CPU,-16,bim/eps0.03_default,bim,eps0.03_default,110,12,12,11,0.0011340120124672482,0.016574127972125957,10.909090909090908,10.909090909090908,91.66666666666666,64.61140782014047,98.51352905492264
CPU,-16,pgd/eps0.005,pgd,eps0.005,110,12,13,5,0.00018900413574137636,0.0029087419325316,10.909090909090908,11.818181818181818,41.66666666666667,19.325746190524658,68.04926643446272
CPU,-16,pgd/eps0.01,pgd,eps0.01,110,12,17,5,0.00037800560663026094,0.005700135146352328,10.909090909090908,15.454545454545453,41.66666666666667,19.325746190524658,68.04926643446272
CPU,-16,pgd/eps0.03,pgd,eps0.03,110,12,13,11,0.0011340120050589964,0.01633764669637783,10.909090909090908,11.818181818181818,91.66666666666666,64.61140782014047,98.51352905492264
CPU,-16,mifgsm/eps0.03_default,mifgsm,eps0.03_default,110,12,15,11,0.0011340120791414764,0.01714395825666455,10.909090909090908,13.636363636363635,91.66666666666666,64.61140782014047,98.51352905492264
CPU,-16,difgsm/eps0.03_default,difgsm,eps0.03_default,110,12,18,11,0.0011340120717332272,0.017182987064800436,10.909090909090908,16.363636363636363,91.66666666666666,64.61140782014047,98.51352905492264
CPU,-16,vmifgsm/eps0.03_default,vmifgsm,eps0.03_default,110,12,16,11,0.0011340120801997973,0.017279940521852485,10.909090909090908,14.545454545454545,91.66666666666666,64.61140782014047,98.51352905492264
CPU,-16,vnifgsm/eps0.03_default,vnifgsm,eps0.03_default,110,12,15,11,0.0011340120786123146,0.017390505114400885,10.909090909090908,13.636363636363635,91.66666666666666,64.61140782014047,98.51352905492264
CPU,-16,rfgsm/eps0.03_default,rfgsm,eps0.03_default,110,12,14,11,0.0011340120341628292,0.016449466787955933,10.909090909090908,12.727272727272727,91.66666666666666,64.61140782014047,98.51352905492264
CPU,-16,tpgd/eps0.03_default,tpgd,eps0.03_default,110,12,13,8,0.0011340120151130462,0.016247248954393598,10.909090909090908,11.818181818181818,66.66666666666666,39.06175873976139,86.18821601026386
CPU,-16,cw/c1_steps20_lr0.01,cw,c1_steps20_lr0.01,110,12,15,12,0.00062287871471855,0.007112240283326618,10.909090909090908,13.636363636363635,100.0,75.74992425007574,100.0
CPU,-16,deepfool/package_default,deepfool,package_default,110,12,15,12,0.0011430636363167046,0.005386489943669933,10.909090909090908,13.636363636363635,100.0,75.74992425007574,100.0
CPU,-16,fab/eps0.005,fab,eps0.005,110,12,14,5,2.166816742497794e-05,0.00033276846475019395,10.909090909090908,12.727272727272727,41.66666666666667,19.325746190524658,68.04926643446272
CPU,-16,fab/eps0.01,fab,eps0.01,110,12,18,6,0.00010818406960671359,0.0015784946715236387,10.909090909090908,16.363636363636363,50.0,25.377817039342222,74.62218296065778
CPU,-16,fab/eps0.03,fab,eps0.03,110,12,17,11,0.00030366424047808036,0.004309155456410629,10.909090909090908,15.454545454545453,91.66666666666666,64.61140782014047,98.51352905492264
CPU,-16,square/eps0.03_default,square,eps0.03_default,110,12,13,12,0.0011114258133932814,0.017732174206607092,10.909090909090908,11.818181818181818,100.0,75.74992425007574,100.0
CPU,-16,apgd/eps0.03_default,apgd,eps0.03_default,110,12,17,11,0.0011137867928482086,0.016397962900110398,10.909090909090908,15.454545454545453,91.66666666666666,64.61140782014047,98.51352905492264
CPU,-16,apgdt/eps0.03_default,apgdt,eps0.03_default,110,12,8,12,0.0011340116891501455,0.013792876204983704,10.909090909090908,7.2727272727272725,100.0,75.74992425007574,100.0
CPU,-16,autoattack/eps0.03_standard,autoattack,eps0.03_standard,110,12,12,12,0.0011340120278129,0.016735163585028814,10.909090909090908,10.909090909090908,100.0,75.74992425007574,100.0
CPU,-16,ead/package_default,ead,package_default,110,12,17,12,0.002116590627172744,0.005249497616188605,10.909090909090908,15.454545454545453,100.0,75.74992425007574,100.0
