backend,profile,attack,attack_profile,n,n_clean_correct,n_attacked_correct,n_attack_success,mean_linf,mean_l2,clean_acc_pct,attacked_acc_pct,cond_asr_pct,cond_asr_ci95_lo_pct,cond_asr_ci95_hi_pct
CPU,fgsm/eps0.005,fgsm,eps0.005,2200,1298,1211,219,0.00015639320481564134,0.002496710667831096,59.0,55.04545454545454,16.87211093990755,14.933126462448856,19.006609370236163
CPU,fgsm/eps0.01,fgsm,eps0.01,2200,1298,1081,408,0.00031278431989692127,0.00499269842276006,59.0,49.13636363636364,31.432973805855163,28.965270821161976,34.01025554087778
CPU,fgsm/eps0.03,fgsm,eps0.03,2200,1298,713,839,0.0009383489932620986,0.014968254993542643,59.0,32.40909090909091,64.63790446841294,61.997244617662986,67.19217443301109
CPU,fgsm/eps0.05,fgsm,eps0.05,2200,1298,525,1035,0.0015639149223781888,0.02492588172285728,59.0,23.863636363636363,79.73805855161787,77.46505620060856,81.8355530286556
CPU,bim/eps0.03_default,bim,eps0.03_default,2200,1298,529,1055,0.0009383489427801818,0.013554221399932712,59.0,24.045454545454543,81.2788906009245,79.06557704089484,83.30760261475606
CPU,pgd/eps0.005,pgd,eps0.005,2200,1298,1186,249,0.00015639318335156638,0.0024130184648409833,59.0,53.90909090909091,19.183359013867488,17.133467214575486,21.41512425768965
CPU,pgd/eps0.01,pgd,eps0.01,2200,1298,1027,471,0.00031278427190205874,0.00473037450246254,59.0,46.68181818181818,36.28659476117103,33.714794203547015,38.93932900161098
CPU,pgd/eps0.03,pgd,eps0.03,2200,1298,534,1044,0.0009383489224075002,0.013413663687480735,59.0,24.272727272727273,80.43143297380585,78.18465299954246,82.49861292159571
CPU,mifgsm/eps0.03_default,mifgsm,eps0.03_default,2200,1298,558,1030,0.0009383489652430475,0.01411243914626534,59.0,25.363636363636367,79.35285053929123,77.06571482889153,81.46675179377594
CPU,difgsm/eps0.03_default,difgsm,eps0.03_default,2200,1298,597,971,0.000938348965216589,0.014169759949965523,59.0,27.136363636363637,74.80739599383666,72.37482797399646,77.09355589083012
CPU,vmifgsm/eps0.03_default,vmifgsm,eps0.03_default,2200,1298,545,1039,0.0009383489611155954,0.014231084626040965,59.0,24.772727272727273,80.0462249614792,77.78475122117824,82.13037209336326
