backend,true_label,true_modulation,pred_label,pred_modulation,count
CPU,0,QAM16,0,QAM16,101
CPU,0,QAM16,1,QAM64,27
CPU,0,QAM16,2,8PSK,12
CPU,0,QAM16,3,WBFM,1
CPU,0,QAM16,4,BPSK,3
CPU,0,QAM16,5,CPFSK,5
CPU,0,QAM16,6,AM-DSB,0
CPU,0,QAM16,7,GFSK,1
CPU,0,QAM16,8,PAM4,3
CPU,0,QAM16,9,QPSK,5
CPU,0,QAM16,10,AM-SSB,42
CPU,1,QAM64,0,QAM16,30
CPU,1,QAM64,1,QAM64,118
CPU,1,QAM64,2,8PSK,7
CPU,1,QAM64,3,WBFM,0
CPU,1,QAM64,4,BPSK,2
CPU,1,QAM64,5,CPFSK,3
CPU,1,QAM64,6,AM-DSB,3
CPU,1,QAM64,7,GFSK,2
CPU,1,QAM64,8,PAM4,3
CPU,1,QAM64,9,QPSK,10
CPU,1,QAM64,10,AM-SSB,22
CPU,2,8PSK,0,QAM16,3
CPU,2,8PSK,1,QAM64,4
CPU,2,8PSK,2,8PSK,106
CPU,2,8PSK,3,WBFM,1
CPU,2,8PSK,4,BPSK,3
CPU,2,8PSK,5,CPFSK,6
CPU,2,8PSK,6,AM-DSB,2
CPU,2,8PSK,7,GFSK,2
CPU,2,8PSK,8,PAM4,4
CPU,2,8PSK,9,QPSK,4
CPU,2,8PSK,10,AM-SSB,65
CPU,3,WBFM,0,QAM16,1
CPU,3,WBFM,1,QAM64,0
CPU,3,WBFM,2,8PSK,1
CPU,3,WBFM,3,WBFM,28
CPU,3,WBFM,4,BPSK,0
CPU,3,WBFM,5,CPFSK,2
CPU,3,WBFM,6,AM-DSB,128
CPU,3,WBFM,7,GFSK,1
CPU,3,WBFM,8,PAM4,0
CPU,3,WBFM,9,QPSK,0
CPU,3,WBFM,10,AM-SSB,39
CPU,4,BPSK,0,QAM16,1
CPU,4,BPSK,1,QAM64,0
CPU,4,BPSK,2,8PSK,3
CPU,4,BPSK,3,WBFM,3
CPU,4,BPSK,4,BPSK,119
CPU,4,BPSK,5,CPFSK,5
CPU,4,BPSK,6,AM-DSB,1
CPU,4,BPSK,7,GFSK,5
CPU,4,BPSK,8,PAM4,6
CPU,4,BPSK,9,QPSK,1
CPU,4,BPSK,10,AM-SSB,56
CPU,5,CPFSK,0,QAM16,0
CPU,5,CPFSK,1,QAM64,3
CPU,5,CPFSK,2,8PSK,1
CPU,5,CPFSK,3,WBFM,1
CPU,5,CPFSK,4,BPSK,1
CPU,5,CPFSK,5,CPFSK,120
CPU,5,CPFSK,6,AM-DSB,0
CPU,5,CPFSK,7,GFSK,6
CPU,5,CPFSK,8,PAM4,2
CPU,5,CPFSK,9,QPSK,4
CPU,5,CPFSK,10,AM-SSB,62
CPU,6,AM-DSB,0,QAM16,0
CPU,6,AM-DSB,1,QAM64,0
CPU,6,AM-DSB,2,8PSK,1
CPU,6,AM-DSB,3,WBFM,19
CPU,6,AM-DSB,4,BPSK,1
CPU,6,AM-DSB,5,CPFSK,1
CPU,6,AM-DSB,6,AM-DSB,130
CPU,6,AM-DSB,7,GFSK,2
CPU,6,AM-DSB,8,PAM4,0
CPU,6,AM-DSB,9,QPSK,0
CPU,6,AM-DSB,10,AM-SSB,46
CPU,7,GFSK,0,QAM16,0
CPU,7,GFSK,1,QAM64,0
CPU,7,GFSK,2,8PSK,1
CPU,7,GFSK,3,WBFM,5
CPU,7,GFSK,4,BPSK,0
CPU,7,GFSK,5,CPFSK,1
CPU,7,GFSK,6,AM-DSB,2
CPU,7,GFSK,7,GFSK,137
CPU,7,GFSK,8,PAM4,0
CPU,7,GFSK,9,QPSK,0
CPU,7,GFSK,10,AM-SSB,54
CPU,8,PAM4,0,QAM16,1
CPU,8,PAM4,1,QAM64,0
CPU,8,PAM4,2,8PSK,0
CPU,8,PAM4,3,WBFM,1
CPU,8,PAM4,4,BPSK,3
CPU,8,PAM4,5,CPFSK,2
CPU,8,PAM4,6,AM-DSB,2
CPU,8,PAM4,7,GFSK,0
CPU,8,PAM4,8,PAM4,143
CPU,8,PAM4,9,QPSK,1
CPU,8,PAM4,10,AM-SSB,47
CPU,9,QPSK,0,QAM16,3
CPU,9,QPSK,1,QAM64,5
CPU,9,QPSK,2,8PSK,8
CPU,9,QPSK,3,WBFM,1
CPU,9,QPSK,4,BPSK,2
CPU,9,QPSK,5,CPFSK,2
CPU,9,QPSK,6,AM-DSB,3
CPU,9,QPSK,7,GFSK,4
CPU,9,QPSK,8,PAM4,0
CPU,9,QPSK,9,QPSK,110
CPU,9,QPSK,10,AM-SSB,62
CPU,10,AM-SSB,0,QAM16,0
CPU,10,AM-SSB,1,QAM64,0
CPU,10,AM-SSB,2,8PSK,1
CPU,10,AM-SSB,3,WBFM,0
CPU,10,AM-SSB,4,BPSK,3
CPU,10,AM-SSB,5,CPFSK,2
CPU,10,AM-SSB,6,AM-DSB,2
CPU,10,AM-SSB,7,GFSK,3
CPU,10,AM-SSB,8,PAM4,1
CPU,10,AM-SSB,9,QPSK,2
CPU,10,AM-SSB,10,AM-SSB,186
NPU,0,QAM16,0,QAM16,104
NPU,0,QAM16,1,QAM64,29
NPU,0,QAM16,2,8PSK,12
NPU,0,QAM16,3,WBFM,1
NPU,0,QAM16,4,BPSK,4
NPU,0,QAM16,5,CPFSK,2
NPU,0,QAM16,6,AM-DSB,0
NPU,0,QAM16,7,GFSK,2
NPU,0,QAM16,8,PAM4,3
NPU,0,QAM16,9,QPSK,4
NPU,0,QAM16,10,AM-SSB,39
NPU,1,QAM64,0,QAM16,38
NPU,1,QAM64,1,QAM64,110
NPU,1,QAM64,2,8PSK,10
NPU,1,QAM64,3,WBFM,1
NPU,1,QAM64,4,BPSK,2
NPU,1,QAM64,5,CPFSK,2
NPU,1,QAM64,6,AM-DSB,3
NPU,1,QAM64,7,GFSK,1
NPU,1,QAM64,8,PAM4,3
NPU,1,QAM64,9,QPSK,8
NPU,1,QAM64,10,AM-SSB,22
NPU,2,8PSK,0,QAM16,4
NPU,2,8PSK,1,QAM64,3
NPU,2,8PSK,2,8PSK,107
NPU,2,8PSK,3,WBFM,1
NPU,2,8PSK,4,BPSK,3
NPU,2,8PSK,5,CPFSK,6
NPU,2,8PSK,6,AM-DSB,2
NPU,2,8PSK,7,GFSK,2
NPU,2,8PSK,8,PAM4,4
NPU,2,8PSK,9,QPSK,4
NPU,2,8PSK,10,AM-SSB,64
NPU,3,WBFM,0,QAM16,1
NPU,3,WBFM,1,QAM64,0
NPU,3,WBFM,2,8PSK,1
NPU,3,WBFM,3,WBFM,19
NPU,3,WBFM,4,BPSK,0
NPU,3,WBFM,5,CPFSK,2
NPU,3,WBFM,6,AM-DSB,137
NPU,3,WBFM,7,GFSK,1
NPU,3,WBFM,8,PAM4,0
NPU,3,WBFM,9,QPSK,0
NPU,3,WBFM,10,AM-SSB,39
NPU,4,BPSK,0,QAM16,1
NPU,4,BPSK,1,QAM64,1
NPU,4,BPSK,2,8PSK,6
NPU,4,BPSK,3,WBFM,4
NPU,4,BPSK,4,BPSK,107
NPU,4,BPSK,5,CPFSK,4
NPU,4,BPSK,6,AM-DSB,13
NPU,4,BPSK,7,GFSK,5
NPU,4,BPSK,8,PAM4,7
NPU,4,BPSK,9,QPSK,2
NPU,4,BPSK,10,AM-SSB,50
NPU,5,CPFSK,0,QAM16,1
NPU,5,CPFSK,1,QAM64,2
NPU,5,CPFSK,2,8PSK,2
NPU,5,CPFSK,3,WBFM,2
NPU,5,CPFSK,4,BPSK,2
NPU,5,CPFSK,5,CPFSK,118
NPU,5,CPFSK,6,AM-DSB,0
NPU,5,CPFSK,7,GFSK,7
NPU,5,CPFSK,8,PAM4,1
NPU,5,CPFSK,9,QPSK,4
NPU,5,CPFSK,10,AM-SSB,61
NPU,6,AM-DSB,0,QAM16,1
NPU,6,AM-DSB,1,QAM64,0
NPU,6,AM-DSB,2,8PSK,0
NPU,6,AM-DSB,3,WBFM,16
NPU,6,AM-DSB,4,BPSK,1
NPU,6,AM-DSB,5,CPFSK,1
NPU,6,AM-DSB,6,AM-DSB,133
NPU,6,AM-DSB,7,GFSK,2
NPU,6,AM-DSB,8,PAM4,0
NPU,6,AM-DSB,9,QPSK,0
NPU,6,AM-DSB,10,AM-SSB,46
NPU,7,GFSK,0,QAM16,0
NPU,7,GFSK,1,QAM64,0
NPU,7,GFSK,2,8PSK,4
NPU,7,GFSK,3,WBFM,62
NPU,7,GFSK,4,BPSK,2
NPU,7,GFSK,5,CPFSK,1
NPU,7,GFSK,6,AM-DSB,8
NPU,7,GFSK,7,GFSK,73
NPU,7,GFSK,8,PAM4,0
NPU,7,GFSK,9,QPSK,0
NPU,7,GFSK,10,AM-SSB,50
NPU,8,PAM4,0,QAM16,1
NPU,8,PAM4,1,QAM64,1
NPU,8,PAM4,2,8PSK,1
NPU,8,PAM4,3,WBFM,3
NPU,8,PAM4,4,BPSK,6
NPU,8,PAM4,5,CPFSK,2
NPU,8,PAM4,6,AM-DSB,0
NPU,8,PAM4,7,GFSK,0
NPU,8,PAM4,8,PAM4,138
NPU,8,PAM4,9,QPSK,1
NPU,8,PAM4,10,AM-SSB,47
NPU,9,QPSK,0,QAM16,3
NPU,9,QPSK,1,QAM64,2
NPU,9,QPSK,2,8PSK,13
NPU,9,QPSK,3,WBFM,4
NPU,9,QPSK,4,BPSK,3
NPU,9,QPSK,5,CPFSK,3
NPU,9,QPSK,6,AM-DSB,2
NPU,9,QPSK,7,GFSK,4
NPU,9,QPSK,8,PAM4,2
NPU,9,QPSK,9,QPSK,107
NPU,9,QPSK,10,AM-SSB,57
NPU,10,AM-SSB,0,QAM16,1
NPU,10,AM-SSB,1,QAM64,1
NPU,10,AM-SSB,2,8PSK,1
NPU,10,AM-SSB,3,WBFM,2
NPU,10,AM-SSB,4,BPSK,3
NPU,10,AM-SSB,5,CPFSK,1
NPU,10,AM-SSB,6,AM-DSB,0
NPU,10,AM-SSB,7,GFSK,3
NPU,10,AM-SSB,8,PAM4,1
NPU,10,AM-SSB,9,QPSK,1
NPU,10,AM-SSB,10,AM-SSB,186
