group_by,group_value,n,cpu_correct,npu_correct,agree,both_correct,cpu_only_correct,npu_only_correct,both_wrong,cpu_acc_pct,npu_acc_pct,acc_diff_pp_npu_minus_cpu,agreement_pct
overall,ALL,2200,1298,1202,1996,1172,126,30,872,59.0,54.63636363636363,-4.363636363636367,90.72727272727273
modulation,8PSK,200,106,107,196,105,1,2,92,53.0,53.5,0.5,98.0
modulation,AM-DSB,200,130,133,178,121,9,12,58,65.0,66.5,1.5,89.0
modulation,AM-SSB,200,186,186,194,185,1,1,13,93.0,93.0,0.0,97.0
modulation,BPSK,200,119,107,176,105,14,2,79,59.5,53.5,-6.0,88.0
modulation,CPFSK,200,120,118,193,117,3,1,79,60.0,59.0,-1.0,96.5
modulation,GFSK,200,137,73,128,72,65,1,62,68.5,36.5,-32.0,64.0
modulation,PAM4,200,143,138,193,138,5,0,57,71.5,69.0,-2.5,96.5
modulation,QAM16,200,101,104,189,101,0,3,96,50.5,52.0,1.5,94.5
modulation,QAM64,200,118,110,183,108,10,2,80,59.0,55.0,-4.0,91.5
modulation,QPSK,200,110,107,183,105,5,2,88,55.0,53.5,-1.5,91.5
modulation,WBFM,200,28,19,183,15,13,4,168,14.0,9.5,-4.5,91.5
snr_db,-20,110,11,11,107,11,0,0,99,10.0,10.0,0.0,97.27272727272727
snr_db,-18,110,11,12,105,11,0,1,98,10.0,10.909090909090908,0.9090909090909083,95.45454545454545
snr_db,-16,110,12,12,100,10,2,2,96,10.909090909090908,10.909090909090908,0.0,90.9090909090909
snr_db,-14,110,12,13,102,12,0,1,97,10.909090909090908,11.818181818181818,0.9090909090909101,92.72727272727273
snr_db,-12,110,21,19,103,19,2,0,89,19.09090909090909,17.272727272727273,-1.8181818181818166,93.63636363636364
snr_db,-10,110,31,30,96,27,4,3,76,28.181818181818183,27.272727272727273,-0.9090909090909101,87.27272727272727
snr_db,-8,110,45,41,95,37,8,4,61,40.90909090909091,37.27272727272727,-3.636363636363633,86.36363636363636
snr_db,-6,110,59,51,93,48,11,3,48,53.63636363636363,46.36363636363637,-7.272727272727266,84.54545454545455
snr_db,-4,110,74,69,91,63,11,6,30,67.27272727272727,62.72727272727273,-4.54545454545454,82.72727272727273
snr_db,-2,110,88,79,95,77,11,2,20,80.0,71.81818181818181,-8.181818181818187,86.36363636363636
snr_db,0,110,88,84,98,80,8,4,18,80.0,76.36363636363636,-3.6363636363636402,89.0909090909091
snr_db,2,110,93,86,103,86,7,0,17,84.54545454545455,78.18181818181819,-6.36363636363636,93.63636363636364
snr_db,4,110,96,89,102,89,7,0,14,87.27272727272727,80.9090909090909,-6.36363636363636,92.72727272727273
snr_db,6,110,91,86,103,85,6,1,18,82.72727272727273,78.18181818181819,-4.545454545454547,93.63636363636364
snr_db,8,110,96,91,105,91,5,0,14,87.27272727272727,82.72727272727273,-4.5454545454545325,95.45454545454545
snr_db,10,110,93,84,99,83,10,1,16,84.54545454545455,76.36363636363636,-8.181818181818187,90.0
snr_db,12,110,93,85,98,84,9,1,16,84.54545454545455,77.27272727272727,-7.2727272727272805,89.0909090909091
snr_db,14,110,95,86,98,85,10,1,14,86.36363636363636,78.18181818181819,-8.181818181818173,89.0909090909091
snr_db,16,110,94,84,99,84,10,0,16,85.45454545454545,76.36363636363636,-9.090909090909093,90.0
snr_db,18,110,95,90,104,90,5,0,15,86.36363636363636,81.81818181818181,-4.545454545454547,94.54545454545455
