backend,snr_db,profile,attack,attack_profile,topk,n,n_clean_correct,n_attack_success,n_recovered,n_defended_correct,n_retained,n_retained_nodef,n_clean_topk_correct,n_clean_degraded,recovery_pct,recovery_ci95_lo_pct,recovery_ci95_hi_pct,defended_acc_pct,retention_pct,retention_nodef_pct,retention_gain_pp,clean_topk_acc_pct,clean_degradation_pct
CPU,-20,fgsm/eps0.005,fgsm,eps0.005,10,110,11,1,0,12,0,10,9,11,0.0,0.0,79.34567085261071,10.909090909090908,0.0,90.9090909090909,-90.9090909090909,8.181818181818182,100.0
CPU,-20,fgsm/eps0.005,fgsm,eps0.005,20,110,11,1,0,7,0,10,8,11,0.0,0.0,79.34567085261071,6.363636363636363,0.0,90.9090909090909,-90.9090909090909,7.2727272727272725,100.0
CPU,-20,fgsm/eps0.005,fgsm,eps0.005,30,110,11,1,0,10,3,10,12,8,0.0,0.0,79.34567085261071,9.090909090909092,27.27272727272727,90.9090909090909,-63.63636363636364,10.909090909090908,72.72727272727273
CPU,-20,fgsm/eps0.005,fgsm,eps0.005,40,110,11,1,0,10,7,10,8,4,0.0,0.0,79.34567085261071,9.090909090909092,63.63636363636363,90.9090909090909,-27.272727272727273,7.2727272727272725,36.36363636363637
CPU,-20,fgsm/eps0.01,fgsm,eps0.01,10,110,11,3,0,14,0,8,9,11,0.0,0.0,56.15060804490177,12.727272727272727,0.0,72.72727272727273,-72.72727272727273,8.181818181818182,100.0
CPU,-20,fgsm/eps0.01,fgsm,eps0.01,20,110,11,3,0,10,0,8,8,11,0.0,0.0,56.15060804490177,9.090909090909092,0.0,72.72727272727273,-72.72727272727273,7.2727272727272725,100.0
CPU,-20,fgsm/eps0.01,fgsm,eps0.01,30,110,11,3,0,8,2,8,12,8,0.0,0.0,56.15060804490177,7.2727272727272725,18.181818181818183,72.72727272727273,-54.54545454545455,10.909090909090908,72.72727272727273
CPU,-20,fgsm/eps0.01,fgsm,eps0.01,40,110,11,3,1,14,9,8,8,4,33.33333333333333,6.14903152761605,79.23450448735122,12.727272727272727,81.81818181818183,72.72727272727273,9.090909090909093,7.2727272727272725,36.36363636363637
CPU,-20,fgsm/eps0.03,fgsm,eps0.03,10,110,11,9,0,14,0,2,9,11,0.0,0.0,29.91527535509594,12.727272727272727,0.0,18.181818181818183,-18.181818181818183,8.181818181818182,100.0
CPU,-20,fgsm/eps0.03,fgsm,eps0.03,20,110,11,9,0,13,0,2,8,11,0.0,0.0,29.91527535509594,11.818181818181818,0.0,18.181818181818183,-18.181818181818183,7.2727272727272725,100.0
