stage,role,n_cpu,n_npu,cpu_mean_ms,npu_mean_ms,speedup_mean,cpu_median_ms,npu_median_ms,speedup_median,cpu_p95_ms,npu_p95_ms,speedup_p95,cpu_p99_ms,npu_p99_ms,speedup_p99
embedding_ms,sensing,2200,2200,0.8436945359341569,0.8616772927000873,0.97913052030235,0.9079625006052083,0.8991200011223555,1.0098346154815987,0.970358800395843,0.9483852026278328,1.0231694860981853,0.9810566978194399,0.9645510613336227,1.017112247497811
energy_detection_ms,sensing,2200,2200,1.0904148590870995,1.1870865072975014,0.9185639398509525,1.2244764998285973,1.2629794998701982,0.9695141528064724,1.2978415999555182,1.3235024506684567,0.980611406726162,1.3188306590382126,1.3541656201232397,0.9739064701097556
region_postprocess_ms,sensing,2200,2200,0.16286658496537396,0.18502857501560624,0.8802239597404724,0.17776950062398095,0.19350850004684617,0.9186650745623319,0.18844499895749323,0.2054582495588874,0.9171936359921244,0.20633523117794533,0.22401164893381054,0.9210915243024344
segmentation_alignment_ms,sensing,2200,2200,1.836849057274037,1.996961184563485,0.9198221134556269,2.059390000795247,2.1586425000350573,0.954020872266622,2.2196821500983788,2.2544015999756084,0.9845992613394148,2.2468399302533726,2.292036467529215,0.9802810566428013
awn_preprocess_ms,sensing,2200,2200,0.06335868046477339,0.06678488684125285,0.9486978785391442,0.0686114997279219,0.06964400006381766,0.9851745974534829,0.0722443515769555,0.07346945021708953,0.9833250604637155,0.08589012027186978,0.08481323006662922,1.0126971959963622
sensing_pre_ms,"sensing (5 stages, derived sum)",2200,2200,3.997183717725441,4.297538446417933,0.9301100542933263,4.502207500536315,4.6028284978092415,0.9781393120945484,4.688900199744239,4.733294745142302,0.9906207942271872,4.7269275130020105,4.781393556149851,0.988608751296411
clean_infer_ms,inference,2200,2200,2.948695436339015,0.5264437522732702,5.60115952294251,3.205159999197349,0.5379324993555201,5.9582940295248,3.2824729501953698,0.5719298997973965,5.739292440136755,3.339875140645745,0.5936650796320462,5.625857499847895
e2e_clean_ms,end-to-end clean (derived sum),2200,2200,6.945879154064456,4.823982198691203,1.4398641761051576,7.723886499661603,5.147408001505482,1.5005390086432955,7.94384190112396,5.280273597600171,1.5044375550415328,8.00444420021222,5.334069606251433,1.5006261243443761
attacked_infer_ms,inference,52800,52800,2.7954274276099396,0.7078942985181339,3.9489333837858704,2.98200699944573,0.7226084989042647,4.1267256114030335,3.1877566999583,0.7704751487835892,4.1373906802718645,3.2698811087084327,0.8071841502214738,4.050972888666419
e2e_attacked_eval_ms,"end-to-end attacked evaluation, attack generation excluded (derived)",52800,52800,6.79261114533538,5.0054327449360665,1.3570477302301942,6.960661497942056,5.308775500907359,1.3111613962113036,7.819201100221562,5.466126546889427,1.4304829998257511,7.895243510365617,5.523831784630602,1.429305565084944
topk_transform_ms,defense,211200,211200,0.3607837413251225,0.3479757050601544,1.0368072715385517,0.38695150055900734,0.3478029984762543,1.1125594151121898,0.4132210015086457,0.4235450496707926,0.9756246751787764,0.42580506939884805,0.44325801900640727,0.9606257555211721
defended_infer_ms,inference,211200,211200,2.7446932936285084,0.5281391737421024,5.196912916307889,3.0064455004321644,0.5287389997761238,5.6860672311010525,3.1027350499925888,0.6114341000227341,5.074520786258444,3.1507150906418246,0.6319700298604403,4.985545107791909
defense_pipeline_ms,defense (Top-K + inference),211200,211200,3.145526910324613,0.9055305142921145,3.4736840566698994,3.446133000124974,0.9065670001291436,3.801299848366486,3.550614051073353,1.0698601518015494,3.3187646489070883,3.6072002584296574,1.1023400502199365,3.2723117133501196
e2e_defended_ms,"end-to-end defended, attack generation excluded (sensing stages + recorded defense_pipeline_ms)",211200,211200,7.142710628050054,5.2030689607100475,1.3727879991571954,7.2690804983039925,5.494347499279684,1.3230106940372772,8.18187105242032,5.727100500121196,1.4286236206693381,8.252102817641571,5.803041286453663,1.4220306922345836
attack_generation_ms,"attack generation (offline, CPU surrogate)",52800,52800,351.3260545150954,376.29525901736565,0.9336446476432542,63.05543050007145,66.64474650006014,0.9461425515365199,1358.1325102500546,1463.8425827496994,0.927785901472358,2497.1612404394773,2720.6368649184087,0.9178590765417591
attack_pipeline_ms,attack generation + attacked inference,52800,52800,354.2820176026887,377.15232173360414,0.9393605638544378,66.31454400030634,67.53291049972177,0.98195892209591,1361.299199500165,1464.7318703499434,0.9293845700066136,2499.677887039911,2721.555723260275,0.9184738955281921
